frame,marker,forward_chain_raw,forward_chain_pred_dist,forward_chain_seg_error,forward_chain_support,forward_chain_margin
2442,LFIN,*56,4.824978691621118,22.49679820912222,3,999.0
2447,LFIN,*56,4.841619968957731,22.005179525511192,3,999.0
2450,LFIN,*56,5.573185003561328,22.210754906748605,3,999.0
2453,LFIN,*56,10.40607863637797,24.36438760922638,3,999.0
2456,LFIN,*56,7.231934418601823,23.006602089390086,3,999.0
2457,LFIN,*56,4.416285279732235,24.64696082723088,3,999.0
2458,LFIN,*56,4.577499480426849,22.934269507435946,3,999.0
2466,LFIN,*56,7.474685699069592,24.006235301197915,3,999.0
2467,LFIN,*56,11.366253270229457,22.618935086135433,3,999.0
2468,LFIN,*56,9.922963212443694,22.851580460249124,3,999.0000000000001
2469,LFIN,*56,6.896216622632005,23.800233647131318,3,998.9999999999999
